conceito,motivo,ocorrencias
Árbitros,usado_em_afirmacoes_mas_ausente_do_vocabulario,19
Conduta Extremamente Antidesportiva,usado_em_afirmacoes_mas_ausente_do_vocabulario,18
Agressão,usado_em_afirmacoes_mas_ausente_do_vocabulario,15
Tiro Livre para a Equipe Adversária,usado_em_afirmacoes_mas_ausente_do_vocabulario,13
por escrito,usado_em_afirmacoes_mas_ausente_do_vocabulario,13
Conduta Antidesportiva,usado_em_afirmacoes_mas_ausente_do_vocabulario,12
Rede da Baliza,usado_em_afirmacoes_mas_ausente_do_vocabulario,10
Superfície de Jogo,usado_em_afirmacoes_mas_ausente_do_vocabulario,8
Linha da Quadra,usado_em_afirmacoes_mas_ausente_do_vocabulario,8
o,usado_em_afirmacoes_mas_ausente_do_vocabulario,8
a Bola,usado_em_afirmacoes_mas_ausente_do_vocabulario,8
Oficiais de Equipe,usado_em_afirmacoes_mas_ausente_do_vocabulario,8
com Desqualificação,usado_em_afirmacoes_mas_ausente_do_vocabulario,7
fase de construção excessivamente longa,usado_em_afirmacoes_mas_ausente_do_vocabulario,7
Mesa,usado_em_afirmacoes_mas_ausente_do_vocabulario,6
Adversário,usado_em_afirmacoes_mas_ausente_do_vocabulario,6
exatamente 2 pontos,usado_em_afirmacoes_mas_ausente_do_vocabulario,6
no local onde a Bola estava no momento da interrupção,usado_em_afirmacoes_mas_ausente_do_vocabulario,6
Métodos passivos,usado_em_afirmacoes_mas_ausente_do_vocabulario,6
Areia,usado_em_afirmacoes_mas_ausente_do_vocabulario,6
REGULAMENTAR,usado_em_afirmacoes_mas_ausente_do_vocabulario,5
Cartão Verde,usado_em_afirmacoes_mas_ausente_do_vocabulario,5
Substituto,usado_em_afirmacoes_mas_ausente_do_vocabulario,5
a Bola com as mãos,usado_em_afirmacoes_mas_ausente_do_vocabulario,5
Relatório Escrito após a Partida,usado_em_afirmacoes_mas_ausente_do_vocabulario,5
Conduta Gravemente Antidesportiva,usado_em_afirmacoes_mas_ausente_do_vocabulario,5
Atletas,usado_em_afirmacoes_mas_ausente_do_vocabulario,5
Rede de Proteção,usado_em_afirmacoes_mas_ausente_do_vocabulario,4
Tempo de Jogo,usado_em_afirmacoes_mas_ausente_do_vocabulario,4
Tempo Técnico,usado_em_afirmacoes_mas_ausente_do_vocabulario,4
Desperdício de Tempo,usado_em_afirmacoes_mas_ausente_do_vocabulario,4
Bola Masculina,usado_em_afirmacoes_mas_ausente_do_vocabulario,4
Bola Feminina,usado_em_afirmacoes_mas_ausente_do_vocabulario,4
Participante autorizado,usado_em_afirmacoes_mas_ausente_do_vocabulario,4
um Atleta,usado_em_afirmacoes_mas_ausente_do_vocabulario,4
SEM_PENALIDADE,usado_em_afirmacoes_mas_ausente_do_vocabulario,4
a Bola com os braços,usado_em_afirmacoes_mas_ausente_do_vocabulario,4
Passo ocorre quando Atleta após salto,usado_em_afirmacoes_mas_ausente_do_vocabulario,4
"Após Drible, um Atleta",usado_em_afirmacoes_mas_ausente_do_vocabulario,4
contra Adversário,usado_em_afirmacoes_mas_ausente_do_vocabulario,4
Violação da Regra 8:2,usado_em_afirmacoes_mas_ausente_do_vocabulario,4
como critério decisório adicional,usado_em_afirmacoes_mas_ausente_do_vocabulario,4
exatamente 1 ponto,usado_em_afirmacoes_mas_ausente_do_vocabulario,4
Gol espetacular,usado_em_afirmacoes_mas_ausente_do_vocabulario,4
na Área de Substituição,usado_em_afirmacoes_mas_ausente_do_vocabulario,4
Gestão da Competição,usado_em_afirmacoes_mas_ausente_do_vocabulario,4
Número do Atleta,usado_em_afirmacoes_mas_ausente_do_vocabulario,4
Areia usada,usado_em_afirmacoes_mas_ausente_do_vocabulario,4
Iluminação,usado_em_afirmacoes_mas_ausente_do_vocabulario,4
areia,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
exatamente 3 metros,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
REGULAMENTAR com a areia,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
exatamente 15 metros,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
Equipes,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
o Reinício de Jogo correspondente,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
Competição,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
na Súmula,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
Oficial Responsável,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
"o REGIME_2026_07_01 está vigente, então um Número Visível",usado_em_afirmacoes_mas_ausente_do_vocabulario,3
Goleiro dentro da Área de Gol,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
no máximo 3 passos,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
progressivamente,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
Delegado,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
como Conduta Antidesportiva,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
Goleiro com a Bola,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
Regra 15:3b,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
Executante do Lateral,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
a Partida,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
razão para conceder Tiro de 6 Metros,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
Atleta suspenso,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
Desqualificação por duas Suspensões,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
ou autorizadas a entrar novamente na Quadra,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
Árbitros no monitoramento da ocupação da Área de Substituição,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
Delegados,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
como se tivesse ocorrido na Quadra ou na Área de Substituição,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
Uniforme de frio,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
Areia de base granítica,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
Turnover,usado_em_afirmacoes_mas_ausente_do_vocabulario,3
exatamente 12 metros,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
BAIXA,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Linha da Área de Gol,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
perigo para Participante,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
alumínio tubular,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
REGULAMENTAR com o fundo visual,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Suporte da Rede,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Malha da Rede,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
no máximo 80 milímetros,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Goleiro Substituto,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
exatamente 10 minutos,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
o Cronometrista,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Influência Externa,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
imediatamente,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
exatamente uma Bola Reserva,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Quadra de Jogo pela própria Linha de Substituição,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Uniforme Masculino,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Regata,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Uniforme Feminino,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
no mínimo 80 por cento,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Goleiro que,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Uniforme do Goleiro,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
camisa do Oficial de Equipe,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
igual,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Jogador de Linha entra_na Área de Gol quando qualquer parte do corpo,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
dentro da Área de Gol,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Bola no ar sobre a Área de Gol,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
um Atleta da Equipe Defensora,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Atleta parado,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
a Bola uma vez e receber a Bola novamente com uma mão,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
a Bola uma vez e receber a Bola novamente com duas mãos,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Atleta correndo,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
a Bola novamente com uma mão,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
a Bola novamente com duas mãos,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
em até 3 segundos,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Falha de Controle ocorre quando Atleta,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
EXCEÇÃO_PERMITIDA,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
braços para bloquear a Bola,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
mãos para bloquear a Bola,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Adversário com braços,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Adversário com mãos,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Adversário com pernas,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Adversário para longe com braços,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Adversário para longe com mãos,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Adversário para longe com pernas,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Ação Proibida,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Punição Progressiva,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
dentro da Quadra de Jogo,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
fora da Quadra de Jogo,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Conduta Seriamente Antidesportiva,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Tiro de 6 Metros para o Adversário,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
relacionada à Situação de Jogo,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Desqualificação por Conduta Extremamente Antidesportiva,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Interferência de Oficial de Equipe a partir da Área de Substituição,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Gol marcado por Tiro de 6 Metros,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Gol espetacular exige alto padrão técnico,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
em Gol criativo,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Gol que visa ridicularizar Adversário,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
a areia,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Atleta que joga a Bola no Tiro de Árbitro,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
a pelo menos 1 metro do ponto de interseção entre Linha da Área de Gol e Linha Lateral,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
a pelo menos 1 metro do Executante,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
sem Sinal de Apito do Árbitro,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Atletas da Equipe Adversária,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
"Em princípio, Árbitros interrompem a Partida e",usado_em_afirmacoes_mas_ausente_do_vocabulario,2
pela Regra 13:1b,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
"há decisão de Tiro Livre contra a Equipe em Posse da Bola no momento do apito, então o Atleta com a Bola",usado_em_afirmacoes_mas_ausente_do_vocabulario,2
após Sinal de Apito no local onde a Bola estava no momento da interrupção,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
"Atleta da Equipe que recebeu Tiro Livre está na posição correta com a Bola na mão, então o Atleta",usado_em_afirmacoes_mas_ausente_do_vocabulario,2
"existe decisão potencial de Tiro de 6 Metros, Árbitros",usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Executante do Tiro de 6 Metros,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
a Linha de 6 Metros antes de a Bola sair de sua mão,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
"Após execução do Tiro de 6 Metros, a Bola",usado_em_afirmacoes_mas_ausente_do_vocabulario,2
a pelo menos 1 metro do Executante até a Bola sair da mão do Executante,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Todos os Atletas,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
outro pé do Executante,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Executante,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
pelos Árbitros quando Atacantes não ficam em desvantagem ao executar imediatamente,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Oficial de Equipe suspenso,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Pessoa desqualificada,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
com Advertência Verbal,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Sorteio por Moeda,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
com Tiro Livre para os Adversários,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
no local da infração,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
usar Sistema Eletrônico para registrar Team Time-out,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
na atribuição de 2 pontos,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
"um Gol tem objetivo claro de ridicularizar o adversário, então o Gol",usado_em_afirmacoes_mas_ausente_do_vocabulario,2
circunstância externa relevante para uso de apenas uma Baliza no Shoot-out,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Regras de Jogo Passivo,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Sinal de Aviso Prévio,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
por obstrução de trajetória com contato físico durante Shoot-out ou contra-ataque rápido,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
em dispositivo fornecido pela organização do evento,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Oficial de Equipe em movimento,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
"interferir com Árbitros por comportamento provocativo, protesto ou conduta antidesportiva",usado_em_afirmacoes_mas_ausente_do_vocabulario,2
"insultar Árbitros, Delegados, Cronometrista, Secretário, Atletas, Oficiais de Equipe ou espectadores",usado_em_afirmacoes_mas_ausente_do_vocabulario,2
sair da Área de Substituição para influenciar o jogo,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
permanecer ou mover-se ao longo da linha lateral durante aquecimento,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
especificações de uniformes e acessórios do APP-D,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
aos padrões do APP-D,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Regata masculina,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
sem mangas,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Top feminino ajustado ao corpo,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Logotipos de promotor ou patrocinador,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Logotipo do fabricante,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
shorts conforme os gráficos do APP-D,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Shorts masculinos,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Atletas femininas,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Logotipos nos shorts,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Uniformes de frio,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Logotipos de patrocinadores,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Cascalho fino,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Areia muito grossa,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Areia grossa,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Areia média,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Areia fina,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Areia muito fina,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Silte e argila,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
corretamente projetado sobre toda a Área de Jogo,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Iluminação artificial,usado_em_afirmacoes_mas_ausente_do_vocabulario,2
Especialista,conceito_obrigatorio_minimo_ausente,0
Papel_Tático,conceito_obrigatorio_minimo_ausente,0
Papel_Regulamentar,conceito_obrigatorio_minimo_ausente,0
Função_Situacional,conceito_obrigatorio_minimo_ausente,0
Posição_Espacial,conceito_obrigatorio_minimo_ausente,0
Valor_Do_Gol,conceito_obrigatorio_minimo_ausente,0
Fundamento_Da_Pontuação,conceito_obrigatorio_minimo_ausente,0
Inferência_Proibida,conceito_obrigatorio_minimo_ausente,0
Teste_De_Competência,conceito_obrigatorio_minimo_ausente,0
